"ErrorCode";"ErrorText"
"271";"Bar code read failure at lane 6, position 11.    "
"271";"Bar code read failure at lane 6, position 5.    "
"271";"Bar code read failure at lane 6, position 4.    "
"271";"Bar code read failure at lane 6, position 3.    "
"271";"Bar code read failure at lane 6, position 2.    "
"271";"Bar code read failure at lane 5, position 14.    "
"271";"Bar code read failure at lane 5, position 16.    "
"271";"Bar code read failure at lane 5, position 15.    "
"271";"Bar code read failure at lane 6, position 6.    "
"271";"Bar code read failure at lane 6, position 8.    "
"271";"Bar code read failure at lane 6, position 3.    "
"271";"Bar code read failure at lane 1, position 14.    "
"271";"Barcode read failure at lane 4, position 16.    "
"271";"Bar code read failure at lane 6, position 13.    "
"271";"Bar code read failure at lane 6, position 10.    "
"271";"Bar code read failure at lane 6, position 9.    "
"271";"Bar code read failure at lane 6, position 12.    "
"271";"Bar code read failure at lane 6, position 1.    "
"271";"Barcode read failure at lane 1, position 15.    "
"271";"Bar code read failure at lane 1, position 12.    "
"271";"Bar code read failure at lane 6, position 12.    "
"271";"Bar code read failure at lane 1, position 14.    "
"271";"Barcode read failure at lane 1, position 1.    "
"271";"Barcode read failure at lane 1, position 14.    "
"271";"Barcode read failure at lane 1, position 16.    "
"271";"Barcode read failure at lane 4, position 15.    "
"271";"Barcode read failure at lane 5, position 16.    "
"271";"Bar code read failure at lane 6, position 7.    "
"271";"Barcode read failure at lane 4, position 14.    "
"271";"Bar code read failure at lane 1, position 15.    "
"271";"Bar code read failure at lane 1, position 16.    "
"271";"Bar code read failure at lane 1, position 14.    "
"271";"Barcode read failure at lane 1, position 13.    "
